File Path,File Size
C:\Users\hp\Desktop\demo\demo_file1.txt,256
C:\Users\hp\Desktop\demo\demo_file2.txt,256
C:\Users\hp\Desktop\demo\demo_file3.txt,256
C:\Users\hp\Desktop\demo\encryption_log.csv,256
C:\Users\hp\Desktop\demo\hello.txt,256
C:\Users\hp\Desktop\demo\in.txt,256
C:\Users\hp\Desktop\demo\key.key,256
